"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de preço de carrinho de compras com base na ""%s"" atributo foram desativados."
"%s Coupon(s) have been generated","%s Eventualidade foram geradas"
Actions,Ações
"Fixed amount discount","Desconto de valor fixo"
"Fixed amount discount for whole cart","Desconto de valor fixo para carrinho"
"For matching items only","Para itens correspondentes somente"
"For shipment with matching items","Para a expedição com itens de correspondência"
"Free Shipping","Frete grátis"
"From Date","Partir da data"
"General Information","Informações gerais"
Generate,Gerar
ID,ID
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s para uma subseleção de itens no carrinho de correspondência %s dessas condições:"
"If an item is %s in the cart with %s of these conditions true:","Se um item é %s no carrinho com %s true estas condições:"
"If empty no separation.","Se esvaziar sem separação."
"If you select and save the rule you will be able to generate multiple coupon codes.","Se você selecionar e salvar a regra que você será capaz de gerar vários códigos de cupom."
Inactive,Inativo
"Item totals are not set for rule.","Item totais não são definidos por regra."
Labels,Rótulos
"Manage Coupon Codes","Gerenciar cupom códigos"
"Maximum Qty Discount is Applied To","Desconto máximo de Qty é aplicado para"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO ESTÁ LOGADO"
"New Rule","Nova regra"
No,Não
"No Coupon","Sem cupom"
"Not valid data provided","Não é válidos dados fornecidos"
"Number of Uses","Número de utilizações"
Numeric,Numérico
"Payment Method","Método de pagamento"
"Percent of product price discount","Por cento de desconto de preço de produto"
Period,Período
"Price in cart","Preço no carrinho"
Priority,Prioridade
"Product attribute combination","Combinação de atributo de produto"
"Products subselection","Subseleção produtos"
Promotions,Promoções
"Public In RSS Feed","Público em RSS Feed"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Linha total no carrinho"
"Rule Information","Informações de regra"
"Rule Name","Nome da regra"
"Rule is not defined","Regra não é definida"
"Sales Discount Amount","Quantidade de vendas de desconto"
"Sales Subtotal Amount","Quantidade de vendas Subtotal"
"Sales Total Amount","Valor Total das vendas"
"Save and Continue Edit","Salvar e continuar a editar"
"Shipping Country","País de envio"
"Shipping Method","Método de envio"
"Shipping Postcode","Código postal de envio"
"Shipping Region","Região de transporte"
"Shipping State/Province","Frete estado/província"
"Shopping Cart Price Rule","Regra de preço de carrinho de compras"
"Shopping Cart Price Rules","Regras de preço de carrinho de compras"
"Special Price","Preço especial"
"Specific Coupon","Cupom específico"
Status,Status
"Stop Further Rules Processing","Pare de novas regras de processamento"
"Store View Specific Labels","Etiquetas específicas de exibição"
Subtotal,Subtotal
"Subtotal Amount","Subtotal quantidade"
"The rule has been deleted.","A regra foi Excluídoda."
"The rule has been saved.","A regra foi salvo."
"This rule no longer exists.","Esta regra não existe mais."
"Times Used","Vezes usados"
"To Date","Até à data"
"To Fixed Value","Valor fixo"
"To Percentage","A percentagem"
Total,Total
"Total Amount","Montante total"
"Total Items Quantity","Quantidade total de itens"
"Total Weight","Peso total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Não é possível criar solicitou cupom Qtd. Por favor, verifique as configurações e tente novamente."
"Unable to find a rule to delete.","Não é possível encontrar uma regra para excluir."
"Update prices using the following information","Preços de atualização usando as seguintes informações"
"Update product's %s %s: %s","Do produto atualização %s %s: %s"
"Update the Product","Atualização do produto"
"Use Auto Generation","Geração automática de uso"
Used,Usado
"Uses per Coupon","Usos por cupom"
"Uses per Customer","Usos por cliente"
Website,Site
Websites,Websites
"Wrong rule specified.","Errado regra especificada."
Yes,Sim
"total amount","montante total"
"total quantity","quantidade total"
